2019-12-15 01:44:35,220  Door opened...
2019-12-15 01:46:43,755  Door opened...
2019-12-15 01:46:52,893  Door opened...
2019-12-15 01:46:53,340  Door opened...
2019-12-15 01:46:53,412  Door opened...
2019-12-15 01:46:53,773  Door opened...
2019-12-15 01:46:53,973  Door opened...
2019-12-15 01:46:54,280  Door opened...
2019-12-15 01:46:54,627  Door opened...
2019-12-15 01:46:54,967  Door opened...
2019-12-15 01:46:55,273  Door opened...
2019-12-15 01:46:55,593  Door opened...
2019-12-15 01:46:55,923  Door opened...
2019-12-15 01:46:56,271  Door opened...
2019-12-15 01:46:56,600  Door opened...
2019-12-15 01:46:56,948  Door opened...
2019-12-15 01:46:57,253  Door opened...
2019-12-15 01:48:13,242  Door opened...
